Periodo,PIB_MEX,Tendencia,Ciclo
1993/01,10066121.86,233665.364235656,9832456.495764343
1993/02,10092487.93,650303.8376981743,9442184.092301825
1993/03,10200852.22,1205368.4506886136,8995483.769311387
1993/04,10329632.31,1860213.598565722,8469418.711434279
1994/01,10436716.63,2581815.854044066,7854900.775955935
1994/02,10655450.27,3342445.17653286,7313005.09346714
1994/03,10742186.42,4119280.8384262915,6622905.581573708
1994/04,10861848.51,4894072.740301958,5967775.7696980415
1995/01,10238043.32,5652710.09872595,4585333.22127405
1995/02,9736364.21,6384811.99012042,3351552.2198795807
1995/03,9926096.96,7082863.324170824,2843233.6358291768
1995/04,10110488.97,7741443.730700048,2369045.239299953
1996/01,10367229.46,8356909.8605533615,2010319.5994466394
1996/02,10518854.09,8927099.017850608,1591755.0721493922
1996/03,10703541.26,9451104.956461286,1252436.3035387136
1996/04,11018639.93,9929016.27717498,1089623.6528250203
1997/01,11037680.74,10361704.353470989,675976.3865290117
1997/02,11293348.09,10750721.573611625,542626.5163883753
1997/03,11512936.17,11098042.811100788,414893.3588992115
1997/04,11790790.53,11405982.081015132,384808.44898486696
1998/01,11903392.13,11677112.706780605,226279.4232193958
1998/02,11990433.81,11914248.517103788,76185.29289621301
1998/03,12045238.13,12120344.765330758,-75106.63533075713
1998/04,12063955.33,12298404.320615664,-234448.99061566405
1999/01,12195322.24,12451383.110465553,-256060.87046555243
1999/02,12265454.45,12582090.531768348,-316636.0817683488
1999/03,12364920.6,12693175.943367941,-328255.3433679417
1999/04,12493022.47,12787090.806557108,-294068.33655710705
2000/01,12722924.59,12866081.42303902,-143156.83303901926
2000/02,12927620.25,12932210.301806502,-4590.051806502044
2000/03,13028513.1,12987450.478831727,41062.62116827257
2000/04,12942040.77,13033772.121304482,-91731.35130448267
2001/01,12957763.08,13073171.060552798,-115407.98055279814
2001/02,12879137.31,13107585.79581013,-228448.48581012897
2001/03,12882651.4,13138882.696322104,-256231.2963221036
2001/04,12821843.85,13168785.351030689,-346941.5010306891
2002/01,12742924.66,13198857.204317681,-455932.54431768134
2002/02,12853100.83,13230444.862126714,-377344.03212671354
2002/03,12940661.04,13264609.972561235,-323948.9325612355
2002/04,12980917.97,13302178.343704604,-321260.37370460294
2003/01,13015289.95,13343773.315557322,-328483.3655573223
2003/02,13041188.38,13389817.440386334,-348629.0603863336
2003/03,13040282.67,13440527.968355095,-400245.2983550951
2003/04,13176382.76,13495904.256464325,-319521.4964643251
2004/01,13343988.17,13555695.508403262,-211707.3384032622
2004/02,13570141.95,13619451.226925861,-49309.276925861835
2004/03,13551818.37,13686588.597699564,-134770.22769956477
2004/04,13718241.91,13756493.988093738,-38252.078093737364
2005/01,13741612.99,13828469.53408543,-86856.54408542998
2005/02,13782648.62,13901793.464102874,-119144.8441028744
2005/03,13909178.65,13975689.721234255,-66511.07123425417
2005/04,14129444.56,14049307.783040173,80136.77695982717
2006/01,14378259.9,14121755.557661735,256504.34233826585
2006/02,14520155.2,14192191.038725618,327964.161274381
2006/03,14564962.75,14259932.535072485,305030.214927515
2006/04,14596400.26,14324503.333143767,271896.9268562328
2007/01,14699980.57,14385617.363265252,314363.20673474856
2007/02,14812820.95,14443158.491342,369662.4586579986
2007/03,14905521.63,14497207.06028328,408314.5697167199
2007/04,14965263.14,14548074.452035045,417188.68796495534
2008/01,14915886.46,14596327.245149307,319559.21485069394
