Periodo,PIB_MEX,GDP_USD
1993/01,10066121.86,6729.459
1993/02,10092487.93,6808.939
1993/03,10200852.22,6882.098
1993/04,10329632.31,7013.738
1994/01,10436716.63,7115.652
1994/02,10655450.27,7246.931
1994/03,10742186.42,7331.075
1994/04,10861848.51,7455.288
1995/01,10238043.32,7522.289
1995/02,9736364.21,7580.997
1995/03,9926096.96,7683.125
1995/04,10110488.97,7772.586
1996/01,10367229.46,7868.468
1996/02,10518854.09,8032.84
1996/03,10703541.26,8131.408
1996/04,11018639.93,8259.771
1997/01,11037680.74,8362.655
1997/02,11293348.09,8518.825
1997/03,11512936.17,8662.823
1997/04,11790790.53,8765.907
1998/01,11903392.13,8866.48
1998/02,11990433.81,8969.699
1998/03,12045238.13,9121.097
1998/04,12063955.33,9293.991
1999/01,12195322.24,9417.264
1999/02,12265454.45,9524.152
1999/03,12364920.6,9681.856
1999/04,12493022.47,9899.378
2000/01,12722924.59,10002.857
2000/02,12927620.25,10247.679
2000/03,13028513.1,10319.825
2000/04,12942040.77,10439.025
2001/01,12957763.08,10472.879
2001/02,12879137.31,10597.822
2001/03,12882651.4,10596.294
2001/04,12821843.85,10660.294
2002/01,12742924.66,10788.952
2002/02,12853100.83,10893.207
2002/03,12940661.04,10992.051
2002/04,12980917.97,11071.463
2003/01,13015289.95,11183.507
2003/02,13041188.38,11312.875
2003/03,13040282.67,11567.326
2003/04,13176382.76,11769.275
2004/01,13343988.17,11920.169
2004/02,13570141.95,12108.987
2004/03,13551818.37,12303.34
2004/04,13718241.91,12522.425
2005/01,13741612.99,12761.337
2005/02,13782648.62,12910.022
2005/03,13909178.65,13142.873
2005/04,14129444.56,13332.316
2006/01,14378259.9,13603.933
2006/02,14520155.2,13749.806
2006/03,14564962.75,13867.469
2006/04,14596400.26,14037.228
2007/01,14699980.57,14208.569
2007/02,14812820.95,14382.363
2007/03,14905521.63,14535.003
2007/04,14965263.14,14681.501
2008/01,14915886.46,14651.039
2008/02,15048665.69,14805.611
2008/03,15092670.04,14835.187
2008/04,14852544.92,14559.543
2009/01,14096777.9,14394.547
2009/02,13881028.27,14352.85
2009/03,14331726.67,14420.312
2009/04,14580211.04,14628.021
2010/01,14738249.1,14721.35
2010/02,14890721.75,14926.098
2010/03,15026245.67,15079.917
2010/04,15151487.87,15240.843
2011/01,15274550.53,15285.828
2011/02,15341615.86,15496.189
2011/03,15637039.62,15591.85
2011/04,15748743.51,15796.46
2012/01,15837439.9,16019.758
2012/02,15977627.88,16152.257
2012/03,16078269.83,16257.151
2012/04,16213674.55,16358.863
2013/01,16269905.52,16569.591
2013/02,16157056.06,16637.926
2013/03,16313692,16848.748
2013/04,16402695.3,17083.137
2014/01,16508811.05,17104.555
2014/02,16717683.94,17432.909
2014/03,16780482.77,17721.657
2014/04,16967333.84,17849.912
2015/01,17060757.79,17984.178
2015/02,17237670.2,18219.405
2015/03,17446826.06,18344.713
2015/04,17443715.22,18350.825
2016/01,17549061.86,18424.283
2016/02,17626019.34,18637.253
2016/03,17820267.67,18806.743
2016/04,18022420.82,18991.883
2017/01,18108948.41,19190.431
2017/02,18168351.41,19356.649
2017/03,18111156.83,19611.704
2017/04,18324436.98,19918.91
2018/01,18567856.4,20163.159
2018/02,18521633.61,20510.177
2018/03,18578257.96,20749.752
2018/04,18590228.01,20897.804
2019/01,18566766.49,21098.827
2019/02,18547684.05,21340.267
2019/03,18532013.87,21542.54
2019/04,18506692.63,21726.779
